city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,5
sj,2008,20,5
sj,2008,21,8
sj,2008,22,9
sj,2008,23,11
sj,2008,24,12
sj,2008,25,15
sj,2008,26,24
sj,2008,27,20
sj,2008,28,19
sj,2008,29,23
sj,2008,30,30
sj,2008,31,29
sj,2008,32,50
sj,2008,33,51
sj,2008,34,43
sj,2008,35,57
sj,2008,36,73
sj,2008,37,80
sj,2008,38,63
sj,2008,39,37
sj,2008,40,29
sj,2008,41,46
sj,2008,42,36
sj,2008,43,28
sj,2008,44,23
sj,2008,45,33
sj,2008,46,31
sj,2008,47,28
sj,2008,48,23
sj,2008,49,22
sj,2008,50,13
sj,2008,51,16
sj,2008,52,19
sj,2009,1,15
sj,2009,2,14
sj,2009,3,13
sj,2009,4,12
sj,2009,5,10
sj,2009,6,10
sj,2009,7,11
sj,2009,8,10
sj,2009,9,13
sj,2009,10,5
sj,2009,11,6
sj,2009,12,5
sj,2009,13,3
sj,2009,14,5
sj,2009,15,3
sj,2009,16,5
sj,2009,17,5
sj,2009,18,5
sj,2009,19,4
sj,2009,20,7
sj,2009,21,5
sj,2009,22,11
sj,2009,23,8
sj,2009,24,9
sj,2009,25,15
sj,2009,26,13
sj,2009,27,23
sj,2009,28,39
sj,2009,29,35
sj,2009,30,39
sj,2009,31,49
sj,2009,32,54
sj,2009,33,59
sj,2009,34,60
sj,2009,35,64
sj,2009,36,70
sj,2009,37,40
sj,2009,38,74
sj,2009,39,61
sj,2009,40,72
sj,2009,41,71
sj,2009,42,77
sj,2009,43,65
sj,2009,44,42
sj,2009,45,26
sj,2009,46,25
sj,2009,47,31
sj,2009,48,31
sj,2009,49,22
sj,2009,50,19
sj,2009,51,19
sj,2009,52,24
sj,2010,53,12
sj,2010,1,15
sj,2010,2,13
sj,2010,3,15
sj,2010,4,13
sj,2010,5,10
sj,2010,6,17
sj,2010,7,13
sj,2010,8,14
sj,2010,9,10
sj,2010,10,8
sj,2010,11,7
sj,2010,12,12
sj,2010,13,9
sj,2010,14,7
sj,2010,15,5
sj,2010,16,6
sj,2010,17,14
sj,2010,18,15
sj,2010,19,9
sj,2010,20,13
sj,2010,21,13
sj,2010,22,33
sj,2010,23,42
sj,2010,24,39
sj,2010,25,22
sj,2010,26,27
sj,2010,27,48
sj,2010,28,47
sj,2010,29,36
sj,2010,30,26
sj,2010,31,50
sj,2010,32,65
sj,2010,33,69
sj,2010,34,67
sj,2010,35,106
sj,2010,36,78
sj,2010,37,76
sj,2010,38,77
sj,2010,39,70
sj,2010,40,59
sj,2010,41,94
sj,2010,42,68
sj,2010,43,57
sj,2010,44,31
sj,2010,45,32
sj,2010,46,24
sj,2010,47,21
sj,2010,48,19
sj,2010,49,26
sj,2010,50,17
sj,2010,51,16
sj,2011,52,20
sj,2011,1,14
sj,2011,2,10
sj,2011,3,15
sj,2011,4,16
sj,2011,5,13
sj,2011,6,10
sj,2011,7,12
sj,2011,8,10
